0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:46:26 +0530] "POST /Bookify/formProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:46:26 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 15840
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:46:26 +0530] "GET /Bookify/home.css HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:46:27 +0530] "GET /Bookify/img/symbol1.webp HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:46:27 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:46:27 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:46:27 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:46:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:17 +0530] "GET /Bookify/home.jsp?cat=1 HTTP/1.1" 200 14781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:17 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:17 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:19 +0530] "GET /Bookify/home.jsp?cat=2 HTTP/1.1" 200 12509
192.168.43.170 - - [27/Dec/2022:11:47:21 +0530] "POST /Bookify/processInsight.jsp?addBook=1 HTTP/1.1" 302 -
192.168.43.170 - - [27/Dec/2022:11:47:21 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 9018
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:21 +0530] "GET /Bookify/home.jsp?cat=3 HTTP/1.1" 200 12509
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:22 +0530] "GET /Bookify/home.jsp?cat=5 HTTP/1.1" 200 13568
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:23 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:25 +0530] "GET /Bookify/home.jsp?cat=2 HTTP/1.1" 200 12509
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:33 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:33 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:37 +0530] "GET /Bookify/home.jsp?cat=1 HTTP/1.1" 200 14781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:37 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:37 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:40 +0530] "GET /Bookify/home.jsp?cat=5 HTTP/1.1" 200 13568
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:40 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:43 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 8907
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:46 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 17169
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:46 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:46 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:46 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:47:46 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
192.168.43.112 - - [27/Dec/2022:11:48:10 +0530] "POST /Bookify/processInsight.jsp?addBook=1 HTTP/1.1" 302 -
192.168.43.112 - - [27/Dec/2022:11:48:10 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 9443
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:15 +0530] "GET /Bookify/home.jsp?cat=5 HTTP/1.1" 200 14669
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:15 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:15 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:20 +0530] "GET /Bookify/home.jsp?cat=3 HTTP/1.1" 200 12509
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:21 +0530] "GET /Bookify/home.jsp?cat=1 HTTP/1.1" 200 14781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:21 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:21 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:26 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 18270
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:26 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:26 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:26 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:26 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:26 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:48:54 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 9335
192.168.43.170 - - [27/Dec/2022:11:48:56 +0530] "POST /Bookify/processInsight.jsp?addBook=1 HTTP/1.1" 302 -
192.168.43.170 - - [27/Dec/2022:11:48:56 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 9717
192.168.43.170 - - [27/Dec/2022:11:48:58 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 19578
192.168.43.170 - - [27/Dec/2022:11:48:59 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
192.168.43.170 - - [27/Dec/2022:11:48:59 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
192.168.43.170 - - [27/Dec/2022:11:48:59 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
192.168.43.170 - - [27/Dec/2022:11:48:59 +0530] "GET /Bookify/img/ynfm.png HTTP/1.1" 404 779
192.168.43.170 - - [27/Dec/2022:11:48:59 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
192.168.43.170 - - [27/Dec/2022:11:48:59 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:04 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 19576
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:04 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:04 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:04 +0530] "GET /Bookify/img/ynfm.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:04 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:04 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:04 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:05 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:05 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
192.168.43.170 - - [27/Dec/2022:11:49:06 +0530] "GET /Bookify/manageInsight.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:08 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:08 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:09 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:09 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:09 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:09 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:10 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:10 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:11 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:11 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:11 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:11 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
192.168.43.170 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 19578
192.168.43.170 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
192.168.43.170 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
192.168.43.170 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
192.168.43.170 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
192.168.43.170 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
192.168.43.170 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/ynfm.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:12 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:13 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:13 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:13 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:13 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:13 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:13 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:13 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:13 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:20 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:21 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:22 +0530] "GET /Bookify/home.jsp?cat=3 HTTP/1.1" 200 12509
192.168.43.170 - - [27/Dec/2022:11:49:26 +0530] "GET /Bookify/manageInsight.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:26 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 19576
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:26 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:26 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:26 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:26 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:26 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:26 +0530] "GET /Bookify/img/ynfm.png HTTP/1.1" 404 779
192.168.43.170 - - [27/Dec/2022:11:49:28 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 9608
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:34 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:34 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:52 +0530] "GET /Bookify/home.jsp?cat=5 HTTP/1.1" 200 15975
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:52 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:52 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:49:52 +0530] "GET /Bookify/img/ynfm.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:14 +0530] "GET /Bookify/home.jsp?cat=5 HTTP/1.1" 200 14669
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:14 +0530] "GET /Bookify/img/240x0.jpeg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:14 +0530] "GET /Bookify/img/download.jpeg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:17 +0530] "GET /Bookify/home.jsp?cat=4 HTTP/1.1" 200 15137
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:17 +0530] "GET /Bookify/img/gtg.jpeg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:17 +0530] "GET /Bookify/img/ynfm.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:50 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 9606
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:51 +0530] "GET /Bookify/addInsight.jsp HTTP/1.1" 200 9606
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:59 +0530] "GET /Bookify/home.jsp HTTP/1.1" 200 19576
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:59 +0530] "GET /Bookify/img/sm.jpeg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2022:11:50:59 +0530] "GET /Bookify/img/hsp.jpeg HTTP/1.1" 404 779
